Name,Platform,Year_of_Release,Genre,Publisher,Developer,Rating
Men of Valor,XB,2004,Shooter,Vivendi Games,2015,M
Ready 2 Rumble Revolution,Wii,2009,Sports,Atari,10tacle Studios,T
Secret Files: Tunguska,Wii,2008,Adventure,Koch Media,"10tacle Studios, Fusionsphere Systems",T
Secret Files: Tunguska,DS,2008,Adventure,Deep Silver,"10tacle Studios, Fusionsphere Systems",T
IL-2 Sturmovik,PC,2001,Simulation,Blue Byte,"1C, 1C Company",T
IL-2 Sturmovik: Forgotten Battles,PC,2003,Simulation,Ubisoft,"1C, 1C Company",T
Majesty 2: The Fantasy Kingdom Sim,PC,2009,Simulation,Paradox Interactive,"1C, Ino-Co, 1C Company",T
Majesty 2: The Fantasy Kingdom Sim,X360,N/A,Simulation,Unknown,"1C, Ino-Co, 1C Company",
Blitzkrieg 2 Anthology,PC,2008,Strategy,Ascaron Entertainment GmbH,"1C, Various, 1C Company",
IL-2 Sturmovik: 1946,PC,2006,Simulation,Ubisoft,1C: Maddox Games,T
IL-2 Sturmovik: Cliffs of Dover,PC,2011,Simulation,Ubisoft,1C: Maddox Games,T
Elven Legacy,PC,2009,Strategy,Paradox Interactive,1C:Ino-Co,T
Elven Legacy Collection,PC,2010,Strategy,Paradox Interactive,1C:Ino-Co,
Disney Princess: Magical Jewels,DS,2007,Adventure,Disney Interactive Studios,1st Playable Productions,E
Puzzle Quest: Challenge of the Warlords,DS,2007,Puzzle,D3Publisher,1st Playable Productions,E10+
Marvel Trading Card Game,DS,2007,Misc,Konami Digital Entertainment,1st Playable Productions,T
Club Penguin: Elite Penguin Force,DS,2008,Adventure,Disney Interactive Studios,1st Playable Productions,E
Ener-G: Gym Rockets,DS,2008,Sports,Ubisoft,1st Playable Productions,E
GoPets: Vacation Island,DS,2008,Simulation,Konami Digital Entertainment,1st Playable Productions,E
Imagine: Cheerleader,DS,2009,Simulation,Ubisoft,1st Playable Productions,E
Moxie Girlz,DS,2011,Misc,GameMill Entertainment,1st Playable Productions,E
Santa Claus Is Comin' to Town!,Wii,2011,Puzzle,Crave Entertainment,1st Playable Productions,E
Ben 10 Omniverse 2,3DS,2013,Action,Namco Bandai Games,1st Playable Productions,E10+
Pet Zombies,3DS,N/A,Simulation,Majesco Entertainment,1st Playable Productions,T
The Hidden,3DS,N/A,Adventure,Unknown,1st Playable Productions,E10+
World of Goo,PC,2008,Puzzle,2D Boy,2D Boy,E
Borderlands: The Pre-Sequel,X360,2014,Shooter,Take-Two Interactive,2K Australia,M
Borderlands: The Pre-Sequel,PS3,2014,Shooter,Take-Two Interactive,2K Australia,M
Borderlands: The Pre-Sequel,PC,2014,Shooter,Take-Two Interactive,2K Australia,M
Mafia II,X360,2010,Action,Take-Two Interactive,2K Czech,M
Mafia II,PS3,2010,Action,Take-Two Interactive,2K Czech,M
Mafia II,PC,2010,Action,Take-Two Interactive,2K Czech,M
Top Spin 4,PS3,2011,Sports,Take-Two Interactive,2K Czech,E
Top Spin 4,X360,2011,Sports,Take-Two Interactive,2K Czech,E
Ford vs. Chevy,XB,2005,Racing,Global Star,2K Games,E
Top Spin 4,Wii,2011,Sports,Take-Two Interactive,2K Games,E
BioShock The Collection,PS4,2016,Shooter,Take-Two Interactive,2K Games,M
BioShock The Collection,XOne,2016,Shooter,Take-Two Interactive,2K Games,M
NBA 2K17,PS3,2016,Sports,Take-Two Interactive,2K Games,E
NBA 2K17,X360,2016,Sports,Take-Two Interactive,2K Games,E
BioShock 2,X360,2010,Shooter,Take-Two Interactive,2K Marin,M
BioShock 2,PS3,2010,Shooter,Take-Two Interactive,2K Marin,M
The Bureau: XCOM Declassified,PS3,2013,Shooter,Take-Two Interactive,2K Marin,M
The Bureau: XCOM Declassified,X360,2013,Shooter,Take-Two Interactive,2K Marin,M
The Bureau: XCOM Declassified,PC,2013,Shooter,Take-Two Interactive,2K Marin,M
BioShock 2,PC,N/A,Shooter,Take-Two Interactive,2K Marin,M
Dora's Big Birthday Adventure,DS,2010,Misc,Take-Two Interactive,2K Play,E
Dora's Big Birthday Adventure,PS2,2010,Misc,Take-Two Interactive,2K Play,E
Don King Boxing,Wii,2009,Sports,Take-Two Interactive,2K Shanghai,T
NHL 2K6,PS2,2005,Sports,Take-Two Interactive,2K Sports,E10+
NHL 2K6,XB,2005,Sports,Take-Two Interactive,2K Sports,E10+
Amped 3,X360,2005,Sports,Take-Two Interactive,2K Sports,T
NHL 2K6,X360,2005,Sports,Take-Two Interactive,2K Sports,E10+
College Hoops 2K6,XB,2005,Sports,Take-Two Interactive,2K Sports,E
World Poker Tour,XB,2005,Misc,Take-Two Interactive,2K Sports,T
College Hoops 2K7,X360,2006,Sports,Take-Two Interactive,2K Sports,E
College Hoops 2K6,X360,2006,Sports,Take-Two Interactive,2K Sports,E
College Hoops 2K7,PS3,2007,Sports,Take-Two Interactive,2K Sports,E
Major League Baseball 2K8,PS2,2008,Sports,Bethesda Softworks,2K Sports,E
Major League Baseball 2K9,X360,2009,Sports,Spike,2K Sports,E
Major League Baseball 2K9,Wii,2009,Sports,Take-Two Interactive,2K Sports,E
Major League Baseball 2K9,PS3,2009,Sports,Spike,2K Sports,E
Major League Baseball 2K9,PS2,2009,Sports,Spike,2K Sports,E
Major League Baseball 2K9,PSP,2009,Sports,Spike,2K Sports,E
NBA 2K16,PC,2015,Sports,Take-Two Interactive,2K Sports,E10+
College Hoops 2K6,PS2,N/A,Sports,Unknown,2K Sports,E
Baja: Edge of Control,PS3,2008,Racing,THQ,2XL Games,E
Baja: Edge of Control,X360,2008,Racing,THQ,2XL Games,E
Halo: Combat Evolved Anniversary,X360,2011,Shooter,Microsoft Game Studios,343 Industries,M
Halo 4,X360,2012,Shooter,Microsoft Game Studios,343 Industries,M
Halo: The Master Chief Collection,XOne,2014,Shooter,Microsoft Game Studios,343 Industries,M
Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,343 Industries,T
CSI: Crime Scene Investigation,XB,2004,Adventure,Ubisoft,369 Interactive,M
Tetris Worlds,GBA,2001,Puzzle,THQ,3d6 Games,E
Disney's Atlantis: The Lost Empire,GBA,2001,Platform,THQ,3d6 Games,E
Altered Beast: Guardian of the Realms,GBA,2002,Action,THQ,3d6 Games,T
The Revenge of Shinobi,GBA,2002,Platform,Atari,3d6 Games,E
Army Men: Air Attack 2,PS,2000,Action,3DO,3DO,T
Army Men: Sarge's Heroes 2,PS,2000,Shooter,3DO,3DO,T
World Destruction League: Thunder Tanks,PS2,2000,Action,3DO,3DO,T
World Destruction League: Thunder Tanks,PS,2000,Action,3DO,3DO,T
Army Men: Sarge's Heroes 2,PS2,2001,Shooter,Midas Interactive Entertainment,3DO,T
Warriors of Might and Magic,PS2,2001,Adventure,3DO,3DO,T
Jonny Moseley Mad Trix,PS2,2001,Sports,3DO,3DO,T
Army Men: Green Rogue,PS2,2001,Action,3DO,3DO,T
Portal Runner,PS2,2001,Platform,3DO,3DO,E
Dragon Rage,PS2,2001,Shooter,3DO,3DO,T
WarJetz,PS2,2001,Shooter,3DO,3DO,T
High Heat Major League Baseball 2003,PS2,2002,Sports,3DO,3DO,E
Godai: Elemental Force,PS2,2002,Action,3DO,3DO,T
Shifters,PS2,2002,Adventure,3DO,3DO,T
High Heat Major League Baseball 2004,PS2,2003,Sports,3DO,3DO,E
High Heat Major League Baseball 2004,XB,2003,Sports,3DO,3DO,E
Army Men: Sarge's War,GC,2004,Shooter,Global Star,3DO,T
Stacked with Daniel Negreanu,PSP,2006,Misc,Myelin Media,3G Studios,T
SWAT: Target Liberty,PSP,2007,Shooter,Vivendi Games,3G Studios,T
Jillian Michaels' Fitness Ultimatum 2009,Wii,2008,Sports,Deep Silver,3G Studios,E
Bode Miller Alpine Skiing,PS2,2006,Sports,Valcon Games,49Games,E
Winter Sports: The Ultimate Challenge,Wii,2007,Sports,RTL,49Games,E
Winter Sports 2: The Next Challenge,Wii,2008,Sports,RTL,49Games,E
Summer Athletics: The Ultimate Challenge,PS2,2008,Sports,DTP Entertainment,49Games,E
Ski and Shoot,Wii,2008,Sports,RTL,49Games,E
Winter Sports 2: The Next Challenge,X360,2008,Sports,RTL,49Games,E
Winter Sports 2: The Next Challenge,DS,2008,Sports,RTL,49Games,E
Summer Athletics: The Ultimate Challenge,X360,2008,Sports,DTP Entertainment,49Games,E
Summer Athletics,PC,2008,Sports,DTP Entertainment,49Games,
Winter Sports 3: The Great Tournament,PS3,2010,Sports,Tradewest,49Games,E
Winter Sports 3: The Great Tournament,X360,2010,Sports,Tradewest,49Games,E
Winter Stars,Wii,2011,Sports,Deep Silver,49Games,E
Winter Stars,X360,2011,Sports,Deep Silver,49Games,E
Winter Stars,PS3,2011,Sports,Deep Silver,49Games,E
Metro 2033,X360,2010,Shooter,THQ,4A Games,M
Metro 2033,PC,2010,Shooter,THQ,4A Games,M
Metro: Last Light,PS3,2013,Action,Deep Silver,4A Games,
Metro: Last Light,X360,2013,Action,Deep Silver,4A Games,
Metro: Last Light,PC,2013,Action,Deep Silver,4A Games,M
The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,Ubisoft,4J Studios,M
Star Trek: Conquest,Wii,2007,Strategy,Bethesda Softworks,4J Studios,E
Overlord: Raising Hell,PS3,2008,Action,Codemasters,4J Studios,T
Ducati Moto,DS,2008,Racing,Vir2L Studios,4J Studios,E
Banjo-Kazooie,X360,2008,Platform,Microsoft Game Studios,4J Studios,E
Star Trek: Conquest,PS2,N/A,Strategy,Bethesda Softworks,4J Studios,E
Stacked with Daniel Negreanu,PS2,2006,Misc,Myelin Media,5000ft,T
Stacked with Daniel Negreanu,XB,2006,Misc,Myelin Media,5000ft,T
My Fashion Studio,DS,2007,Misc,Ubisoft,505 Games,E
Hotel for Dogs,DS,2008,Simulation,505 Games,505 Games,E
Discovery Kids: Dolphin Discovery,DS,2008,Simulation,505 Games,505 Games,E
Championship Foosball,Wii,2008,Sports,505 Games,505 Games,E
Discovery Kids: Kitten Corner,DS,2009,Simulation,505 Games,505 Games,E
Discovery Kids: Puppy Playtime,DS,2009,Simulation,505 Games,505 Games,E
Rolling Stone: Drum King,Wii,2009,Misc,505 Games,505 Games,T
Discovery Kids: Spider Quest,DS,2009,Misc,505 Games,505 Games,E
Salon Superstar,DS,2009,Simulation,505 Games,505 Games,E
World Party Games,Wii,2009,Misc,505 Games,505 Games,E
Picture Perfect Hair Salon,DS,2009,Simulation,505 Games,505 Games,E
Discovery Kids: Parrot Pals,DS,2009,Simulation,505 Games,505 Games,E
Hotel for Dogs,Wii,2009,Simulation,505 Games,505 Games,E
Fashion Week Jr. Designer,DS,2009,Simulation,505 Games,505 Games,E
My Ballet Studio,Wii,2009,Simulation,505 Games,505 Games,E
Discovery Kids: Snake Safari,DS,2009,Simulation,505 Games,505 Games,E10+
My Ballet Studio,DS,2009,Simulation,505 Games,505 Games,E
Farmtopia,DS,2010,Simulation,505 Games,505 Games,E
Learning to Spell,DS,2010,Misc,505 Games,505 Games,E
My First Dollhouse,DS,2010,Misc,505 Games,505 Games,E
My Pet Chimp,DS,2010,Simulation,505 Games,505 Games,E
World Championship Spelling,DS,2010,Misc,505 Games,505 Games,E
Mind over Matter,DS,2010,Puzzle,505 Games,505 Games,E
Grease Dance,X360,2011,Misc,505 Games,505 Games,T
Grease Dance,PS3,2011,Misc,505 Games,505 Games,T
Top Gun: Hard Lock,X360,2012,Action,505 Games,505 Games,T
Top Gun: Hard Lock,PS3,2012,Action,505 Games,505 Games,T
Johnny Test,DS,2011,Platform,505 Games,"505 Games, Sarbakan Inc.",E
Corpse Party: Book of Shadows,PSP,2011,Adventure,5pb,5pb,M
Steins;Gate,PSV,2013,Adventure,PQube,5pb,M
Corpse Party: Blood Drive,PSV,2014,Adventure,Marvelous Interactive,5pb,M
Steins;Gate 0,PSV,2015,Adventure,PQube,5pb,M
Steins;Gate 0,PS4,2015,Adventure,PQube,5pb,M
Psycho-Pass: Mandatory Happiness,PS4,2016,Adventure,Nippon Ichi Software,5pb,T
Psycho-Pass: Mandatory Happiness,PSV,2016,Adventure,Nippon Ichi Software,5pb,T
Drawn to Life,DS,2007,Action,THQ,5TH Cell,E
Lock's Quest,DS,2008,Strategy,THQ,5TH Cell,E
Scribblenauts,DS,2009,Puzzle,Warner Bros. Interactive Entertainment,5TH Cell,E10+
Drawn to Life: The Next Chapter,DS,2009,Puzzle,THQ,5TH Cell,E
Super Scribblenauts,DS,2010,Puzzle,Warner Bros. Interactive Entertainment,5TH Cell,E10+
Drawn to Life Collection,DS,2010,Misc,THQ,5TH Cell,E
Scribblenauts: Unlimited,3DS,2012,Action,Warner Bros. Interactive Entertainment,5TH Cell,E10+
Scribblenauts: Unlimited,WiiU,2012,Action,Warner Bros. Interactive Entertainment,5TH Cell,E10+
Scribblenauts Unmasked: A DC Comics Adventure,WiiU,2013,Puzzle,Warner Bros. Interactive Entertainment,5TH Cell,E10+
Scribblenauts Unmasked: A DC Comics Adventure,3DS,2013,Puzzle,Warner Bros. Interactive Entertainment,5TH Cell,E10+
Defender,PS2,2002,Misc,Midway Games,7 Studios,T
Legion: The Legend of Excalibur,PS2,2002,Action,Midway Games,7 Studios,M
Defender,XB,2002,Misc,Midway Games,7 Studios,T
Fantastic 4,PS2,2005,Action,Activision,7 Studios,T
Fantastic 4,XB,2005,Action,Activision,7 Studios,T
Fantastic 4,GC,2005,Action,Activision,7 Studios,T
Pirates of the Caribbean: The Legend of Jack Sparrow,PS2,2006,Adventure,Ubisoft,7 Studios,T
Fantastic Four: Rise of the Silver Surfer,PS2,2007,Action,Take-Two Interactive,7 Studios,T
Fantastic Four: Rise of the Silver Surfer,Wii,2007,Action,Take-Two Interactive,7 Studios,T
Fantastic Four: Rise of the Silver Surfer,DS,2007,Action,Take-Two Interactive,7 Studios,E10+
Napoleon Dynamite: The Game,PSP,2007,Puzzle,Crave Entertainment,7 Studios,E10+
Napoleon Dynamite: The Game,DS,2007,Puzzle,Crave Entertainment,7 Studios,E10+
Six Flags Fun Park,Wii,2009,Misc,Ubisoft,7 Studios,E10+
Space Camp,DS,2009,Action,Activision,7 Studios,E
Space Camp,Wii,2009,Action,Activision,7 Studios,E
Rise of Flight: Iron Cross Edition,PC,2010,Simulation,Aerosoft,777 Studios,E10+
Beastly Frantic Foto,DS,2011,Puzzle,Storm City Games,7Raven Studios,E
Naruto: Clash of Ninja 2,GC,2003,Fighting,Nintendo,8ing/Raizing,T
Naruto: Clash of Ninja Revolution,Wii,2007,Fighting,Tomy Corporation,8ing/Raizing,T
Naruto Shippuden: Clash of Ninja Revolution 3,Wii,2009,Fighting,Nintendo,8ing/Raizing,T
Darkest of Days,X360,2009,Shooter,Phantom EFX,8Monkey Labs,M
NFL GameDay 2001,PS,2000,Sports,Sony Computer Entertainment,989 Sports,E
NCAA GameBreaker 2001,PS,2000,Sports,Sony Computer Entertainment,989 Sports,E
NBA ShootOut 2001,PS,2000,Sports,Sony Computer Entertainment,989 Sports,E
NCAA Final Four 2001,PS2,2000,Sports,Sony Computer Entertainment,989 Sports,E
NCAA Final Four 2001,PS,2000,Sports,Sony Computer Entertainment,989 Sports,E
NCAA GameBreaker 2001,PS2,2000,Sports,Sony Computer Entertainment,989 Sports,E
MLB 2002,PS,2001,Sports,Sony Computer Entertainment,989 Sports,E
NFL GameDay 2002,PS,2001,Sports,Sony Computer Entertainment,989 Sports,E
NCAA Final Four 2002,PS2,2001,Sports,Sony Computer Entertainment,989 Sports,E
NHL FaceOff 2001,PS2,2001,Sports,Sony Computer Entertainment,989 Sports,E
NBA ShootOut 2001,PS2,2001,Sports,Sony Computer Entertainment,989 Sports,E
NBA ShootOut 2002,PS,2001,Sports,Sony Computer Entertainment,989 Sports,E
NCAA GameBreaker 2003,PS2,2002,Sports,Sony Computer Entertainment,989 Sports,E
NHL FaceOff 2003,PS2,2002,Sports,Sony Computer Entertainment,989 Sports,E
NCAA Final Four 2003,PS2,2002,Sports,Sony Computer Entertainment,989 Sports,E
MLB 2004,PS2,2003,Sports,Sony Computer Entertainment,989 Sports,E
NFL GameDay 2004,PS2,2003,Sports,Sony Computer Entertainment,989 Sports,E
NBA ShootOut 2004,PS2,2003,Sports,Sony Computer Entertainment,989 Sports,E
NCAA GameBreaker 2004,PS2,2003,Sports,Sony Computer Entertainment,989 Sports,E
NCAA Final Four 2004,PS2,2003,Sports,Sony Computer Entertainment,989 Sports,E
MLB 2005,PS2,2004,Sports,Sony Computer Entertainment,989 Sports,E
MLB 2006,PS2,2005,Sports,Sony Computer Entertainment,989 Sports,E
MLB,PSP,2005,Sports,Sony Computer Entertainment,989 Sports,E
NBA,PSP,2005,Sports,Sony Computer Entertainment,989 Sports,E
NFL GameDay 2003,PS2,N/A,Sports,Unknown,989 Sports,E
Spy Fiction,PS2,2003,Action,Sega,Access Games,M
The Sky Crawlers: Innocent Aces,Wii,2008,Simulation,Namco Bandai Games,Access Games,T
Lord of Arcana,PSP,2010,Role-Playing,Square Enix,Access Games,M
Deadly Premonition,X360,2010,Action,Rising Star Games,Access Games,M
Drakengard 3,PS3,2013,Role-Playing,Square Enix,Access Games,M
ECW Anarchy Rulz,PS,1999,Fighting,Acclaim Entertainment,Acclaim,E
Jeremy McGrath Supercross 2000,PS,2000,Racing,Acclaim Entertainment,Acclaim,E
RC Revenge Pro,PS2,2000,Racing,Acclaim Entertainment,Acclaim,E
Crazy Taxi,GC,2001,Racing,Acclaim Entertainment,Acclaim,T
Jeremy McGrath Supercross World,PS2,2001,Racing,Acclaim Entertainment,Acclaim,T
All-Star Baseball 2002,GC,2001,Sports,Acclaim Entertainment,Acclaim,E
NFL Quarterback Club 2002,PS2,2001,Sports,Acclaim Entertainment,Acclaim,E
XGIII: Extreme G Racing,GC,2001,Racing,Acclaim Entertainment,Acclaim,E
NFL Quarterback Club 2002,GC,2001,Sports,Acclaim Entertainment,Acclaim,E
Turok: Evolution,PS2,2002,Shooter,Acclaim Entertainment,Acclaim,M
Turok: Evolution,XB,2002,Shooter,Acclaim Entertainment,Acclaim,M
Turok: Evolution,GC,2002,Shooter,Acclaim Entertainment,Acclaim,M
Legends of Wrestling II,PS2,2002,Fighting,Acclaim Entertainment,Acclaim,T
All-Star Baseball 2003,XB,2002,Sports,Acclaim Entertainment,Acclaim,E
Shadow Man: 2econd Coming,PS2,2002,Adventure,Acclaim Entertainment,Acclaim,M
All-Star Baseball 2003,GC,2002,Sports,Acclaim Entertainment,Acclaim,E
Legends of Wrestling,XB,2002,Fighting,Acclaim Entertainment,Acclaim,T
Legends of Wrestling,GC,2002,Fighting,Acclaim Entertainment,Acclaim,T
Legends of Wrestling II,XB,2002,Fighting,Acclaim Entertainment,Acclaim,T
Jeremy McGrath Supercross World,GC,2002,Racing,Acclaim Entertainment,Acclaim,E
Legends of Wrestling II,GC,2002,Fighting,Acclaim Entertainment,Acclaim,T
ATV Quad Power Racing 2,PS2,2003,Racing,Acclaim Entertainment,Acclaim,E
NBA Jam,XB,2003,Sports,Acclaim Entertainment,Acclaim,E
All-Star Baseball 2004,XB,2003,Sports,Acclaim Entertainment,Acclaim,E
Vexx,XB,2003,Platform,Acclaim Entertainment,Acclaim,T
All-Star Baseball 2004,GC,2003,Sports,Acclaim Entertainment,Acclaim,E
Vexx,GC,2003,Platform,Acclaim Entertainment,Acclaim,T
SX Superstar,XB,2003,Racing,Acclaim Entertainment,Acclaim,T
Showdown: Legends of Wrestling,PS2,2004,Fighting,Acclaim Entertainment,Acclaim,T
Showdown: Legends of Wrestling,XB,2004,Fighting,Acclaim Entertainment,Acclaim,T
All-Star Baseball 2005,PS2,N/A,Sports,Unknown,Acclaim,E
All-Star Baseball 2005,XB,N/A,Sports,Unknown,Acclaim,E
All-Star Baseball 2002,PS2,2001,Sports,Acclaim Entertainment,Acclaim Studios Austin,E
All-Star Baseball 2003,PS2,2002,Sports,Acclaim Entertainment,Acclaim Studios Austin,E
All-Star Baseball 2004,PS2,2003,Sports,Acclaim Entertainment,Acclaim Studios Austin,E
Vexx,PS2,2003,Platform,Acclaim Entertainment,Acclaim Studios Austin,T
Crazy Taxi,PS2,2001,Racing,Acclaim Entertainment,Acclaim Studios Cheltenham,T
18 Wheeler: American Pro Trucker,PS2,2001,Racing,Acclaim Entertainment,Acclaim Studios Cheltenham,E
18 Wheeler: American Pro Trucker,GC,2002,Racing,Acclaim Entertainment,Acclaim Studios Cheltenham,E
Summer Heat Beach Volleyball,PS2,2003,Sports,Acclaim Entertainment,Acclaim Studios Cheltenham,T
XGRA: Extreme G Racing Association,PS2,2003,Racing,Acclaim Entertainment,Acclaim Studios Cheltenham,T
XGRA: Extreme G Racing Association,GC,2003,Racing,Acclaim Entertainment,Acclaim Studios Cheltenham,T
XGRA: Extreme G Racing Association,XB,2003,Racing,Acclaim Entertainment,Acclaim Studios Cheltenham,T
XGRA: Extreme G-Racing Association,PS2,2004,Racing,Eidos Interactive,Acclaim Studios Cheltenham,T
Alias,PS2,2004,Action,Acclaim Entertainment,Acclaim Studios Cheltenham,T
Alias,XB,2004,Action,Acclaim Entertainment,Acclaim Studios Cheltenham,T
Gladiator: Sword of Vengeance,PS2,2003,Action,Acclaim Entertainment,Acclaim Studios Manchester,M
Gladiator: Sword of Vengeance,XB,2003,Action,Acclaim Entertainment,Acclaim Studios Manchester,M
Surf Riders,PS,1999,Sports,Ubisoft,ACOT,E
Tenchu: Stealth Assassins,PS,1997,Action,Activision,Acquire,M
Tenchu 2: Birth of the Stealth Assassins,PS,2000,Action,Activision,Acquire,M
Way of the Samurai,PS2,2002,Action,Eidos Interactive,Acquire,M
Way of the Samurai 2,PS2,2003,Action,Capcom,Acquire,M
Samurai Western,PS2,2004,Action,505 Games,Acquire,M
Way of the Samurai 3,PS3,2008,Action,Gamebridge,Acquire,M
Tenchu: Shadow Assassins,Wii,2008,Action,Ubisoft,Acquire,M
Way of the Samurai 3,X360,2009,Action,Gamebridge,Acquire,M
Gladiator Begins,PSP,2010,Action,PQube,Acquire,M
Way of the Samurai 4,PS3,2011,Action,Nippon Ichi Software,Acquire,M
Aegis of Earth: Protonovus Assault,PSV,2016,Action,PQube,Acquire,T
Aegis of Earth: Protonovus Assault,PS4,2016,Action,PQube,Acquire,T
Aegis of Earth: Protonovus Assault,PS3,2016,Action,PQube,Acquire,T
Rapala Pro Fishing,PS2,2004,Sports,Zoo Digital Publishing,Activision,E
Lemony Snicket's A Series of Unfortunate Events,XB,2004,Platform,Activision,Activision,E
World Series of Poker,PS2,2005,Misc,Activision,Activision,E10+
World Series of Poker,PSP,2005,Misc,Activision,Activision,E10+
World Series of Poker,GC,2005,Misc,Activision Value,Activision,E10+
Shrek Smash n' Crash Racing,GC,2006,Racing,Activision,Activision,E
Shrek Smash n' Crash Racing,PSP,2006,Racing,Activision,Activision,E
Cabela's Big Game Hunter (2008),PS2,2007,Sports,Activision Value,Activision,T
Monster Jam,Wii,2007,Racing,Activision,Activision,E
Barbie Horse Adventures: Riding Camp,DS,2008,Sports,Activision,Activision,E
Barbie Horse Adventures: Riding Camp,Wii,2008,Sports,Activision,Activision,E
Pirates: Hunt For Blackbeard's Booty,Wii,2008,Adventure,Activision,Activision,E
Block Party,Wii,2008,Misc,Activision,Activision,E10+
The Quest Trio,DS,2008,Puzzle,Avanquest,Activision,E
The History Channel: Battle for the Pacific,PS3,2008,Shooter,Activision,Activision,T
Cabela's Big Game Hunter 2010,Wii,2009,Sports,Activision Value,Activision,T
Rapala: We Fish,Wii,2009,Sports,Activision,Activision,E
Dreamworks Madagascar Kartz,Wii,2009,Racing,Activision,Activision,E
Cabela's Big Game Hunter 2010,PS3,2009,Sports,Activision Value,Activision,T
Ice Age: Dawn of the Dinosaurs,DS,2009,Action,Activision,Activision,E
Guitar Hero On Tour: Modern Hits,DS,2009,Misc,Activision,Activision,E10+
Ice Age: Dawn of the Dinosaurs,Wii,2009,Action,Activision,Activision,E10+
Cabela's Big Game Hunter 2010,X360,2009,Sports,Activision Value,Activision,T
Barbie and the Three Musketeers,Wii,2009,Adventure,Activision,Activision,E
Jurassic: The Hunted,PS3,2009,Shooter,Activision,Activision,T
Ice Age: Dawn of the Dinosaurs,PS3,2009,Action,Activision,Activision,E10+
Ice Age: Dawn of the Dinosaurs,PS2,2009,Action,Activision,Activision,E10+
Arcade Zone,Wii,2009,Misc,Activision,Activision,E
Jurassic: The Hunted,Wii,2009,Shooter,Activision,Activision,T
Jurassic: The Hunted,PS2,2009,Shooter,Activision,Activision,T
Cruise Ship Vacation Games,Wii,2009,Puzzle,Avanquest,Activision,E
Science Papa,Wii,2009,Misc,Activision,Activision,E
Jurassic: The Hunted,X360,2009,Shooter,Activision,Activision,T
Ice Age: Dawn of the Dinosaurs,X360,2009,Action,Activision,Activision,E10+
Mountain Sports,Wii,2009,Sports,Activision,Activision,E
Animal Planet: Vet Life,DS,2009,Simulation,Activision,Activision,E
Science Papa,DS,2009,Misc,Activision,Activision,E
Water Sports,Wii,2009,Action,Avanquest,Activision,E
Jewel Quest Mysteries,DS,2009,Puzzle,Astragon,Activision,E
Ice Age: Dawn of the Dinosaurs,PC,2009,Action,Activision,Activision,E10+
Cabela's Dangerous Hunts 2011,Wii,2010,Sports,Activision,Activision,T
ZhuZhu Pets 2: Featuring The Wild Bunch,DS,2010,Simulation,Activision,Activision,E
ZhuZhu Pets: Featuring The Wild Bunch,Wii,2010,Simulation,Activision,Activision,E
Cabela's Dangerous Hunts 2011,PS3,2010,Sports,Activision,Activision,T
Cabela's Dangerous Hunts 2011,X360,2010,Sports,Activision,Activision,T
Dreamworks 2-in-1 Party Pack,DS,2010,Misc,Activision,Activision,E
Cabela's Dangerous Hunts 2011,DS,2010,Sports,Activision,Activision,T
Little League World Series Baseball: Double Play,Wii,2010,Sports,Activision,Activision,E
Little League World Series Baseball: Double Play,DS,2010,Sports,Activision,Activision,E
Animal Planet: Vet Collection,DS,2010,Simulation,Activision,Activision,E
Wipeout: In The Zone,X360,2011,Misc,Activision,Activision,E10+
Lalaloopsy,DS,2011,Simulation,Activision,Activision,E
Cabela's Big Game Hunter 2012,Wii,2011,Sports,Activision,Activision,T
Cabela's Big Game Hunter 2012,X360,2011,Sports,Activision,Activision,T
Cabela's Big Game Hunter 2012,PS3,2011,Sports,Activision,Activision,T
Big League Sports,X360,2011,Sports,Activision,Activision,E
Cabela's Survival: Shadows of Katmai,Wii,2011,Sports,Activision,Activision,T
Cabela's Survival: Shadows of Katmai,PS3,2011,Sports,Activision,Activision,T
Cabela's Survival: Shadows of Katmai,X360,2011,Sports,Activision,Activision,T
ZhuZhu Puppies,DS,2011,Simulation,Activision,Activision,E
DreamWorks Super Star Kartz,Wii,2011,Racing,Activision,Activision,E
Top Shot Arcade,Wii,2011,Shooter,Activision,Activision,T
DreamWorks Super Star Kartz,3DS,2011,Racing,Activision,Activision,E
DreamWorks Super Star Kartz,PS3,2011,Racing,Activision,Activision,E
Cabela's Adventure Camp,PS3,2011,Misc,Activision,Activision,E
Cabela's Adventure Camp,X360,2011,Misc,Activision,Activision,E
ZhuZhu Babies,DS,2011,Simulation,Activision,Activision,E
DreamWorks Super Star Kartz,X360,2011,Racing,Activision,Activision,E
Rapala for Kinect,X360,2011,Sports,Activision,Activision,E
Mystery Legends: Beauty and the Beast,PC,2012,Puzzle,Focus Multimedia,Activision,E10+
The Voice,PS3,2014,Action,Activision,Activision,
Guitar Hero Live,X360,2015,Misc,Activision,Activision,T
SpongeBob: HeroPants,X360,2015,Platform,Activision,Activision,E
SpongeBob: HeroPants,3DS,2015,Platform,Activision,Activision,E
SpongeBob: HeroPants,PSV,2015,Platform,Activision,Activision,E
Monster Garage,XB,2004,Strategy,Activision Value,Activision Value,T
World Series of Poker,XB,2005,Misc,Activision,Activision Value,E10+
